SA4_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
501,20,98,5,1549,12,12,0,17,10,15,3,9,9,68,1547,1701,23,8,12,15,3,13,0,5,0,119,141,334,3526,1184,229,3278,373,1845,256,1665,336,8176,1831,22712
502,26,90,8,896,8,0,7,11,8,10,0,8,6,64,1025,1148,8,7,9,12,0,0,0,0,0,130,100,260,1514,441,97,1410,181,1148,109,901,211,6651,1204,13868
503,37,503,3,5455,14,4,10,11,10,19,7,12,7,48,1166,1320,11,0,9,7,5,9,0,6,3,50,54,149,5221,1319,114,3119,336,2016,136,1687,194,5051,1273,20459
504,25,95,0,2567,20,10,5,21,10,30,9,15,10,66,1845,2051,17,4,15,17,8,15,0,5,3,114,141,343,6511,1163,211,4117,525,2740,234,1810,293,7674,2086,27357
505,52,299,8,6318,30,12,23,35,44,39,13,32,21,134,3514,3900,36,10,37,18,11,10,4,24,21,269,284,723,12662,2777,389,8403,1018,5122,533,4059,637,18084,4034,57730
506,43,209,9,4819,41,18,18,24,21,44,24,25,22,125,3034,3387,32,5,26,24,10,11,0,19,13,217,268,621,11118,2422,385,7504,836,5294,413,3624,549,14788,3527,50463
507,51,268,9,5057,26,7,13,30,34,49,14,22,13,100,2963,3261,33,4,9,16,7,13,0,10,5,202,195,492,9205,1812,293,6345,807,4350,449,3127,523,14032,3309,44251
509,17,93,3,1146,13,5,3,14,4,22,4,17,0,54,1164,1310,33,11,22,13,5,6,3,8,11,132,124,355,3018,1012,216,2493,295,1515,200,1302,269,5655,1423,17399
510,14,11,0,1404,13,0,3,5,6,3,4,0,5,12,612,670,9,4,8,5,4,4,0,0,0,16,59,112,2534,170,105,795,196,569,53,177,81,699,697,6087
511,11,49,3,1285,11,0,3,15,3,12,7,7,5,39,991,1094,15,11,12,17,0,9,3,5,0,88,106,268,3035,507,145,1735,245,1189,141,705,155,3143,1159,12164
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
