SOSR_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SOSR501,3200,6732,4687,3305,3890,1365,751,23922,441,391,258,204,260,97,68,1714,161,235,154,119,152,51,37,903,5983,12814,10026,7640,10000,3864,2378,52706,272,585,426,288,378,118,76,2142,532,1018,550,374,384,75,60,2989,804,1606,977,657,755,190,138,5133,6791,14419,11005,8302,10754,4055,2510,57839,6900,6845,3823,2682,2669,816,512,24240,181,214,155,94,70,20,17,753,13875,21474,14976,11075,13496,4890,3044,82833
SOSR511,154,339,247,208,200,21,3,1173,31,18,24,16,16,0,0,105,13,7,8,4,5,0,0,36,297,608,487,410,498,49,10,2353,11,19,19,14,7,0,0,74,22,54,29,20,14,0,0,140,35,72,46,33,24,4,0,204,330,681,533,445,518,53,16,2562,426,386,219,116,119,13,4,1269,6,4,0,4,3,0,0,22,756,1064,747,565,637,64,15,3850
SOSR512,231,516,396,252,290,15,7,1703,29,33,27,22,16,4,5,126,13,18,11,10,9,0,0,59,388,919,826,607,715,46,16,3516,8,40,37,15,10,0,0,106,31,54,26,22,15,0,4,145,33,88,62,30,25,0,4,252,420,1005,887,637,745,50,18,3767,617,572,269,200,168,16,4,1853,20,42,23,17,6,0,0,113,1056,1624,1175,857,921,72,25,5729
SOSR513,110,214,113,84,83,9,4,609,15,11,9,4,9,5,0,45,16,21,9,5,8,0,0,52,274,544,366,276,312,28,13,1809,7,19,17,17,7,0,0,70,11,35,19,12,8,0,0,88,21,48,37,33,14,0,0,157,294,595,404,305,327,27,12,1964,295,295,167,100,87,7,4,959,15,20,16,3,4,0,0,59,606,912,584,410,414,40,18,2983
SOSR514,40,127,129,75,96,4,0,473,9,6,12,3,6,0,0,30,5,9,3,9,3,0,0,26,69,210,208,143,199,11,0,841,5,23,6,4,0,0,0,44,6,15,8,3,4,0,0,41,12,38,19,12,14,0,0,85,80,245,220,154,212,11,0,930,131,149,56,53,46,3,3,446,0,0,4,0,0,0,0,7,218,404,286,203,257,16,4,1393
SOSR515,152,355,217,160,170,12,0,1065,30,24,23,15,14,0,0,104,8,11,9,4,6,0,0,41,272,646,490,365,421,26,16,2240,23,35,24,22,28,4,0,132,19,54,19,15,14,6,0,134,44,90,47,40,40,8,0,272,316,737,541,408,462,38,14,2513,436,441,244,150,108,12,0,1400,12,25,17,8,0,0,0,54,763,1206,800,562,571,48,14,3969
SOSR521,58,115,107,62,67,0,5,408,3,9,12,12,3,0,0,37,0,6,10,5,0,0,0,21,100,215,195,113,144,13,5,786,9,11,7,4,9,0,0,43,15,24,11,9,5,0,0,57,20,37,19,11,11,0,0,98,122,250,214,131,152,11,5,887,290,282,174,124,82,10,0,960,6,14,4,9,6,0,0,38,422,542,396,260,244,16,5,1879
SOSR522,32,75,36,33,22,3,4,204,6,5,4,0,0,0,0,10,0,5,0,3,0,0,0,9,58,127,88,66,46,11,4,397,4,7,10,4,3,0,0,34,7,15,5,3,0,0,0,41,13,26,10,9,6,0,0,69,64,152,95,74,59,10,4,461,187,203,95,67,45,5,0,613,9,20,12,3,9,0,0,45,263,374,207,145,111,19,6,1129
SOSR531,132,282,202,143,153,14,5,935,20,26,20,13,12,0,0,86,8,8,11,3,8,4,0,33,234,514,434,316,371,51,24,1951,6,14,17,21,5,0,0,58,14,27,22,14,12,0,0,95,23,45,38,37,17,6,0,156,258,557,474,349,390,54,28,2104,354,379,245,149,136,15,10,1286,15,25,13,13,0,0,0,65,613,959,729,513,526,72,30,3456
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
